PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Dario Saric;PF;PHX;25;48;20;28;1189;462;173;391;44.2;58;185;31.4;58;68;85.3;73;215;288;90;59;30;12;107;1009.6;8;0;-45
Markieff Morris;PF;DET;30;42;14;28;947;462;167;371;45;70;178;39.3;58;75;77.3;22;142;164;65;66;26;10;99;798.3;1;0;-107
Dorian Finney-Smith;PF;DAL;26;49;30;19;1446;458;162;348;46.6;78;202;38.6;56;79;70.9;102;171;273;68;44;34;26;110;1023.6;2;0;162
Rudy Gay;PF;SAS;33;45;20;25;971;453;164;371;44.2;45;142;31.7;80;93;86;42;209;251;80;66;20;23;64;937.2;4;0;49
Maxi Kleber;PF;DAL;28;48;29;19;1185;443;153;326;46.9;80;205;39;57;64;89.1;74;180;254;48;36;15;53;108;987.8;1;0;126
Paul Millsap;PF;DEN;34;32;21;11;798;380;132;282;46.8;31;75;41.3;85;96;88.5;64;122;186;45;42;28;22;90;778.7;3;0;205
Dwight Powell;PF;DAL;28;40;25;15;1061;376;146;229;63.8;10;39;25.6;74;111;66.7;75;152;227;59;36;34;22;102;868.9;1;0;195
Omari Spellman;PF;GSW;22;47;10;37;845;365;126;288;43.8;43;108;39.8;70;86;81.4;76;139;215;46;52;33;24;59;811;1;0;-127
P.J. Tucker;PF;HOU;34;49;31;18;1721;359;127;293;43.3;70;194;36.1;35;42;83.3;79;270;349;80;55;57;21;166;1076.8;5;0;119
Marquese Chriss;PF;GSW;22;45;11;34;820;352;133;257;51.8;6;26;23.1;80;106;75.5;84;158;242;80;59;29;42;84;916.4;3;0;-130
Ersan Ilyasova;PF;MIL;32;45;38;7;741;346;124;255;48.6;42;110;38.2;56;68;82.4;51;182;233;42;26;19;13;70;758.6;4;0;131
Draymond Green;PF;GSW;29;37;9;28;1078;311;110;285;38.6;32;116;27.6;59;78;75.6;21;212;233;228;83;54;30;97;1101.6;7;2;-179
Michael Porter Jr.;PF;DEN;21;39;29;10;556;311;121;238;50.8;38;88;43.2;31;39;79.5;43;128;171;29;30;17;18;66;634.7;5;0;38
Royce O'Neale;PF;UTA;26;49;32;17;1439;299;108;237;45.6;60;146;41.1;23;27;85.2;15;239;254;130;39;36;18;145;921.8;2;0;223
Blake Griffin;PF;DET;30;18;8;10;512;279;88;250;35.2;27;111;24.3;76;98;77.6;17;67;84;59;40;7;7;27;470.3;2;0;-26
Mike Scott;PF;PHI;31;50;31;19;883;278;101;257;39.3;54;166;32.5;22;25;88;41;130;171;30;18;16;4;64;570.2;0;0;104
Marvin Williams;PF;CHA;33;40;13;27;790;273;93;208;44.7;44;116;37.9;43;50;86;15;92;107;39;25;26;21;71;575.9;0;0;-108
Chris Boucher;PF;TOR;27;42;30;12;553;270;94;203;46.3;21;73;28.8;61;80;76.3;77;111;188;19;17;16;38;75;669.1;3;0;86
JaMychal Green;PF;LAC;29;40;28;12;841;262;91;224;40.6;52;148;35.1;28;36;77.8;59;202;261;29;37;20;17;107;692.7;6;0;118
